Error Number,Test Suite,Test Title,First Name,Last Name,Gender,Hobbies,Department / Office,Username,Password,Confirm Password,E-Mail,Contact No.,Additional Info,Expected Result,Actual Result,Platform
Bug_1,TestFormSubmission,test_form_empty_form_submission,,,,,,,,,,,,Submit button is disabled,Form is empty but the submit button was enabled,Web - Chrome
Bug_2,TestFirstAndLastNameValidation,test_first_and_last_name_has_a_number,1Ahmed,Hashim44,,,,,,,,,,The first and last name don't accept having a number,The first and last name accept having a number,Web - Chrome
Bug_3,TestFirstAndLastNameValidation,test_first_and_last_name_with_special_characters,#Ahmed,Hashim%,,,,,,,,,,The first and last name don't accept having special characters,The first and last name accept having special characters,Web - Chrome
Bug_4,TestGenderRadioButtonValidation,test_gender_submit_form_without_gender_selection,Ahmed,Hashim,,,,,,,,,,The submit button is not clickable when gender field is unselected,The submit button is clickable when gender field is unselected,Web - Chrome
Bug_5,TestDepartmentDropDownValidation,test_department_submit_form_without_selection,Ahmed,Hashim,Male,,,,,,,,,The submit button should not be clickable when department field is unselected.,The submit button is clickable when department field is unselected,Web - Chrome
Bug_6,TestUsernameValidation,test_username_max_length,,,,,,a123456789123456789123456789123,,,,,,The username accepts a maximum length of 30 characters,The username accepts a maximum length more than 30 characters,Web - Chrome
Bug_7,TestUsernameValidation,test_username_starting_with_a_number,,,,,,1ahmed12,,,,,,The username doesn't accept starting with a number,The username accepts starting with a number,Web - Chrome
Bug_8,TestUsernameValidation,test_username_having_a_special_char_other_than_underscore,,,,,,_ahmed&12,,,,,,The username doesn't accept having a special character other than an underscore,The username accepts having a special character other than an underscore,Web - Chrome
Bug_9,TestPasswordValidation,test_password_non_matching,,,,,,,Password123,Password321,,,,Non-matching passwords error message is displayed,The passwords are not matching but no error message is displayed.,Web - Chrome
Bug_10,TestPasswordValidation,test_password_maximum_length,,,,,,,PPPPPPPPPPPPPPPPPPPPPPPPPPPPPPP,,,,,Maximum length requirement error message is displayed,Password more than required maximum length is accepted.,Web - Chrome
Bug_11,TestPasswordValidation,test_password_empty_fields,,,,,,,PPPPPPPPPPPPPPPPPPPPPPPPPPPPPPP,,,,,Submit button should be disabled with empty password fields,Submit button is enabled with empty password fields.,Web - Chrome
Bug_12,TestPasswordValidation,test_password_copy_paste_prevention,,,,,,,,,,,,Password field should not accept pasted input,Password was pasted into the password field.,Web - Chrome
Bug_13,TestEmailValidation,test_email_empty_field,Ahmed,Hamed,Male,['Running'],Department of Agriculture,abdo1234,45454545,45454545,,,,Submit button is disabled when email field is empty,Submit button is enabled with an empty email field,Web - Chrome
Bug_14,TestEmailValidation,test_email_input_type,,,,,,,,,,,,E-mail field type is 'text',E-mail field input type is in-correct. E-mail field type is 'text',Web - Chrome
Bug_15,TestContactNumberValidation,test_contact_number_empty_field,Ahmed,Hamed,Male,['Running'],Department of Agriculture,abdo1234,45454545,45454545,test@example.com,,,Submit button is disabled when contact number field is empty.,Submit button is enabled with an empty contact number field.,Web - Chrome
Bug_16,TestContactNumberValidation,test_contact_number_invalid_format,,,,,,,,,,abc12345621!,,Invalid contact number format error message is displayed.,Invalid contact number format is accepted without error.,Web - Chrome
Bug_17,TestContactNumberValidation,test_contact_number_input_type,,,,,,,,,,,,Contact number field input type is 'tel'.,Contact number field input type is incorrect. Contact number field type is 'text' and must be 'tel'.,Web - Chrome
Bug_18,TestContactNumberValidation,test_contact_number_clearing_after_filling,,,,,,,,,,2.01057E+11,,The 'Please enter your Contact No.' error message is displayed.,The 'Please enter your Contact No.' error message isn't displayed.,Web - Chrome
Bug_19,TestAdditionalInfoField,test_additional_info_maximum_length,,,,,,,,,,,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Maximum length should be enforced at 500 characters.,Maximum length restriction failed.,Web - Chrome
Bug_20,TestAdditionalInfoField,test_additional_info_truncation,,,,,,,,,,,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Input should be truncated to 500 characters.,Truncation not enforced.,Web - ChromeBug_21,TestFormSubmission,test_form_empty_form_submission,,,,,,,,,,,,Submit button is disabled,Form is empty but the submit button was enabled,Web - Chrome
